symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
LICHSGFIN,2023-10-10,2023-10-23,468.35,457.15,220,stop,Pin Bar,9.0,-2464.00000000001,-2.391373972456501,13
MCX,2023-10-27,2023-11-03,451.05,489.25000000000006,228,target,Pin Bar,9.0,8709.60000000001,8.46912759117615,7
POLYCAB,2023-11-15,2023-11-17,5200.0,5302.6,20,target,Pin Bar,8.0,2052.0000000000073,1.973076923076933,2
UNIONBANK,2023-11-20,2023-11-23,99.45,95.92,1050,stop,Pin Bar,9.0,-3706.5000000000014,-3.5495223730517833,3
MCX,2023-11-12,2023-11-28,531.05,621.2499999999999,195,target,Bullish Engulfing,10.0,17588.999999999985,16.985217964410126,16
CONCOR,2024-01-11,2024-01-17,716.0,694.5,148,stop,Pin Bar,9.0,-3182.0,-3.00279329608939,6
NBCC,2024-01-04,2024-01-23,59.08,71.99999999999999,1791,target,Bullish Engulfing,10.0,23139.71999999998,21.868652674339863,19
PRESTIGE,2024-01-19,2024-01-23,1318.8,1225.95,80,stop,Bullish Engulfing,10.0,-7427.999999999993,-7.040491355777978,4
OIL,2024-01-19,2024-02-06,271.25,311.85,390,target,Bullish Engulfing,10.0,15834.00000000001,14.967741935483868,18
GODFRYPHLP,2024-02-12,2024-02-15,798.05,870.2499999999998,135,target,Pin Bar,9.0,9746.999999999975,9.047052189712401,3
OIL,2024-02-14,2024-02-15,317.6,361.5000000000001,346,target,Pin Bar,9.0,15189.40000000003,13.822418136020186,1
HAL,2024-01-04,2024-02-28,2886.6000000000004,3163.000000000002,36,target,Bullish Engulfing,10.0,9950.400000000052,9.575278874800851,55
HAL,2024-03-01,2024-03-07,3105.05,3287.050000000001,36,target,Pin Bar,9.0,6552.000000000033,5.861419300816451,6
CGPOWER,2024-03-07,2024-03-11,470.05,450.3,242,stop,Pin Bar,8.0,-4779.5,-4.201680672268903,4
NMDC,2024-02-15,2024-03-13,75.9,68.05,1477,stop,Bullish Engulfing,10.0,-11594.450000000013,-10.342555994729919,27
PETRONET,2024-03-02,2024-03-13,271.35,258.5,415,stop,Morning Star,10.0,-5332.750000000009,-4.735581352496787,11
PHOENIXLTD,2024-03-06,2024-03-13,1402.1499999999999,1330.3500000000001,81,stop,Bullish Engulfing,10.0,-5815.799999999977,-5.1207074849338285,7
CUMMINSIND,2024-03-07,2024-03-13,2800.0,2709.0,40,stop,Pin Bar,9.0,-3640.0,-3.2499999999999973,6
CDSL,2023-11-17,2024-03-14,901.55,832.45,116,stop,Pin Bar,9.0,-8015.599999999989,-7.664577671787464,118
TRENT,2024-03-15,2024-03-20,2736.75,2580.35,39,stop,Bullish Engulfing,10.0,-6099.600000000004,-5.714807709874858,5
INDHOTEL,2024-03-27,2024-04-03,571.0,615.0,189,target,Bullish Engulfing,8.0,8316.0,7.705779334500873,7
GAIL,2024-04-08,2024-04-09,178.95000000000002,192.51000000000008,614,target,Bullish Engulfing,7.0,8325.840000000037,7.577535624476139,1
ZYDUSLIFE,2024-03-22,2024-04-15,995.05,946.2,108,stop,Morning Star,7.0,-5275.79999999999,-4.909301040148728,24
BAJAJ-AUTO,2024-04-12,2024-04-16,8826.05,8681.45,12,stop,Pin Bar,9.0,-1735.1999999999825,-1.6383319831634546,4
JSWENERGY,2024-04-19,2024-04-24,633.05,596.45,172,stop,Bullish Engulfing,7.0,-6295.199999999984,-5.781533844088127,5
BHEL,2024-02-15,2024-04-26,227.5,276.15000000000003,492,target,Bullish Engulfing,8.0,23935.800000000017,21.3846153846154,71
RECLTD,2024-01-20,2024-05-02,458.0,538.6000000000001,233,target,Morning Star,10.0,18779.800000000032,17.5982532751092,103
OIL,2024-05-03,2024-05-10,422.45,403.3,266,stop,Pin Bar,9.0,-5093.899999999994,-4.533080837968983,7
HAL,2024-05-09,2024-05-16,3895.8,4307.85,28,target,Bullish Engulfing,10.0,11537.400000000005,10.576774988449111,7
PRESTIGE,2024-05-14,2024-05-23,1499.8,1645.5999999999997,74,target,Pin Bar,9.0,10789.199999999979,9.721296172823024,9
PETRONET,2024-05-23,2024-05-27,297.2,289.95,393,stop,Pin Bar,9.0,-2849.25,-2.439434724091516,4
ADANIPOWER,2024-05-15,2024-05-31,127.25,149.54999999999998,889,target,Bullish Engulfing,10.0,19824.699999999986,17.524557956777986,16
BHEL,2024-05-14,2024-06-04,286.35,267.0,392,stop,Morning Star,10.0,-7585.200000000009,-6.757464641173394,21
MAZDOCK,2024-05-30,2024-06-04,1702.05,1487.45,68,stop,Bullish Engulfing,7.0,-14592.799999999994,-12.608325254839748,5
KEI,2024-06-04,2024-06-05,4250.05,4064.95,26,stop,Morning Star,7.0,-4812.6000000000095,-4.355242879495547,1
GODFRYPHLP,2024-05-15,2024-06-21,1212.05,1462.2499999999998,93,target,Bullish Engulfing,10.0,23268.599999999984,20.642712759374593,37
PHOENIXLTD,2024-07-03,2024-07-04,1799.25,1878.85,65,target,Pin Bar,9.0,5173.9999999999945,4.424065582881753,1
OFSS,2024-06-28,2024-07-15,9334.05,10201.249999999996,12,target,Bullish Engulfing,7.0,10406.399999999965,9.290715177227437,17
GVT&D,2024-07-12,2024-07-16,1698.05,1611.95,68,stop,Pin Bar,9.0,-5854.799999999994,-5.070522069432581,4
HAL,2024-06-25,2024-07-18,5375.0,5114.55,21,stop,Bullish Engulfing,7.0,-5469.449999999996,-4.84558139534883,23
SIEMENS,2024-06-25,2024-07-18,5822.05,5600.5,19,stop,Bullish Engulfing,7.0,-4209.4500000000035,-3.805360654752199,23
MARUTI,2024-07-19,2024-07-22,12680.05,12462.95,9,stop,Pin Bar,9.0,-1953.899999999987,-1.7121383590758543,3
BAJAJ-AUTO,2024-06-05,2024-07-23,9141.05,8590.45,12,stop,Pin Bar,9.0,-6607.1999999999825,-6.023378058319329,48
PETRONET,2024-07-11,2024-07-25,320.05,346.65000000000003,362,target,Pin Bar,9.0,9629.200000000008,8.311201374785204,14
PGEL,2024-07-23,2024-07-25,377.05,443.15000000000003,303,target,Bullish Engulfing,10.0,20028.300000000007,17.530831454714235,2
360ONE,2024-07-08,2024-07-29,1034.95,1062.9499999999998,113,target,Bullish Engulfing,7.0,3163.9999999999745,2.7054447074737586,21
MOTILALOFS,2024-09-23,2024-10-01,799.9499999999999,733.2,148,stop,Bullish Engulfing,10.0,-9878.999999999984,-8.344271516969792,8
HAVELLS,2024-09-30,2024-10-01,2037.05,2000.5,58,stop,Pin Bar,9.0,-2119.8999999999974,-1.7942613092462145,1
LUPIN,2024-10-09,2024-10-10,2228.8,2139.95,53,stop,Bullish Engulfing,8.0,-4709.050000000019,-3.986450107681283,1
INFY,2024-10-03,2024-10-15,1868.55,1943.9499999999996,63,target,Bullish Engulfing,8.0,4750.199999999977,4.035214471113946,12
GODFRYPHLP,2024-10-09,2024-10-22,2311.05,2087.95,51,stop,Bullish Engulfing,8.0,-11378.100000000019,-9.65362064862294,13
DIXON,2024-10-21,2024-10-22,15470.0,14908.95,7,stop,Bullish Engulfing,7.0,-3927.349999999995,-3.6266968325791793,1
TECHM,2024-10-21,2024-10-31,1670.3,1575.15,70,stop,Pin Bar,9.0,-6660.499999999991,-5.696581452433691,10
OBEROIRLTY,2024-10-30,2024-10-31,1990.05,1945.4,57,stop,Pin Bar,9.0,-2545.049999999992,-2.2436622195422196,1
INDHOTEL,2024-11-18,2024-11-25,742.8,809.1999999999998,154,target,Bullish Engulfing,7.0,10225.599999999979,8.939149165320392,7
PGEL,2024-12-02,2024-12-05,732.05,808.0499999999997,158,target,Bullish Engulfing,7.0,12007.999999999964,10.381804521549043,3
HDFCAMC,2024-12-16,2024-12-18,2185.2,2113.25,53,stop,Pin Bar,9.0,-3813.3499999999904,-3.2926047958996785,2
TRENT,2024-12-16,2024-12-18,4685.35,4579.95,25,stop,Pin Bar,8.0,-2635.0000000000136,-2.2495651338747535,2
BSE,2024-12-20,2024-12-23,1940.5,1818.45,59,stop,Bullish Engulfing,7.0,-7200.949999999997,-6.289616078330329,3
360ONE,2024-12-26,2025-01-06,1239.75,1316.9499999999998,93,target,Pin Bar,9.0,7179.599999999983,6.227061907642661,11
INDHOTEL,2025-01-01,2025-01-06,881.05,857.95,132,stop,Pin Bar,9.0,-3049.199999999988,-2.6218716304409417,5
MOTILALOFS,2025-01-02,2025-01-06,984.55,932.1,119,stop,Bullish Engulfing,7.0,-6241.549999999992,-5.32730689147326,4
DIXON,2025-01-01,2025-01-08,18028.899999999998,17471.95,6,stop,Pin Bar,9.0,-3341.6999999999825,-3.0892067735690865,7
BSE,2025-01-23,2025-01-27,1938.55,1866.95,59,stop,Pin Bar,9.0,-4224.399999999994,-3.693482241881818,4
DIVISLAB,2025-02-12,2025-02-14,5964.85,5862.05,19,stop,Pin Bar,9.0,-1953.2000000000035,-1.7234297593401338,2
WIPRO,2025-02-04,2025-02-24,310.0,292.7,374,stop,Bullish Engulfing,10.0,-6470.200000000004,-5.58064516129032,20
BAJAJHLDNG,2025-02-18,2025-02-25,12094.05,11602.0,9,stop,Pin Bar,9.0,-4428.449999999993,-4.0685295661916365,7
INDIGO,2025-03-04,2025-03-19,4492.6,4942.800000000001,24,target,Pin Bar,9.0,10804.800000000017,10.020923296086902,15
MANAPPURAM,2025-02-20,2025-03-21,206.73000000000002,245.79000000000008,558,target,Bullish Engulfing,8.0,21795.480000000032,18.89420983892036,29
M&M,2024-06-06,2025-04-07,2753.75,2448.1499999999996,41,stop,Bullish Engulfing,7.0,-12529.600000000015,-11.097594189741278,305
SBICARD,2025-02-13,2025-04-07,825.0,771.4000000000001,139,stop,Bullish Engulfing,10.0,-7450.399999999987,-6.49696969696969,53
SRF,2025-03-04,2025-04-07,2836.0,2725.2,39,stop,Bullish Engulfing,10.0,-4321.200000000007,-3.9069111424541725,34
CHOLAFIN,2025-03-06,2025-04-07,1469.0,1394.0,77,stop,Pin Bar,9.0,-5775.0,-5.105513955071473,32
MAZDOCK,2025-04-03,2025-04-07,2610.05,2520.25,44,stop,Pin Bar,9.0,-3951.200000000008,-3.440547115955639,4
SHRIRAMFIN,2025-04-04,2025-04-07,660.5999999999999,630.45,175,stop,Morning Star,8.0,-5276.249999999976,-4.56403269754766,3
BAJAJFINSV,2025-02-03,2025-04-21,1780.05,2106.25,65,target,Pin Bar,9.0,21203.000000000004,18.32532794022641,77
LTF,2025-05-08,2025-05-09,169.35000000000002,162.60999999999999,671,stop,Bullish Engulfing,10.0,-4522.540000000025,-3.9799232359019943,1
BAJFINANCE,2025-05-08,2025-05-09,900.05,871.95,125,stop,Bullish Engulfing,8.0,-3512.4999999999886,-3.1220487750680426,1
BDL,2025-04-29,2025-05-14,1508.6499999999999,1780.0499999999995,76,target,Bullish Engulfing,7.0,20626.399999999972,17.989593345043552,15
MAZDOCK,2025-04-29,2025-05-16,2817.9,3275.250000000001,40,target,Bullish Engulfing,10.0,18294.000000000033,16.230171404237236,17
INDIGO,2025-05-16,2025-05-21,5599.0,5409.95,21,stop,Bullish Engulfing,7.0,-3970.050000000004,-3.3764958028219327,5
INDIGO,2025-05-22,2025-05-27,5482.55,5389.95,21,stop,Pin Bar,9.0,-1944.6000000000076,-1.6889950844041657,5
