symbol,old_sector_constituents_based,new_sector_indexlist_based,category,weight_available,chosen_weightage,n_sectoral_candidates,n_thematic_candidates,changed,newly_filled
CANBK,NIFTY PSU BANK,NIFTY PSU BANK,SECTORAL INDICES,True,11.84,1,1,False,False
CDSL,NIFTY MS FIN SERV,NIFTY MS FIN SERV,SECTORAL INDICES,True,2.13,2,1,False,False
CGPOWER,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,3.68,0,5,False,False
CHOLAFIN,NIFTY FINSEREXBNK,NIFTY FINSEREXBNK,SECTORAL INDICES,True,4.64,2,1,False,False
CIPLA,NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES,True,8.26,3,2,False,False
COALINDIA,NIFTY ENERGY,NIFTY ENERGY,THEMATIC INDICES,True,9.6,0,2,False,False
COCHINSHIP,NIFTY IND DEFENCE,NIFTY IND DEFENCE,THEMATIC INDICES,True,3.13,0,3,False,False
COFORGE,NIFTY MS IT TELCM,NIFTY MS IT TELCM,SECTORAL INDICES,True,14.82,2,1,False,False
COLPAL,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,2.62,1,3,False,False
CONCOR,NIFTY RAILWAYSPSU,NIFTY RAILWAYSPSU,THEMATIC INDICES,True,20.0,0,5,False,False
CROMPTON,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,4.28,1,7,False,False
CUMMINSIND,NIFTY INFRALOG,NIFTY INFRALOG,THEMATIC INDICES,True,2.18,0,4,False,False
DABUR,NIFTY FMCG,NIFTY FMCG,SECTORAL INDICES,True,2.41,1,3,False,False
DALBHARAT,NIFTY CEMENT,NIFTY CEMENT,SECTORAL INDICES,True,7.79,1,4,False,False
DELHIVERY,NIFTY MULTI INFRA,NIFTY MULTI INFRA,THEMATIC INDICES,True,1.24,0,3,False,False
DIVISLAB,NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES,True,10.87,3,2,False,False
DIXON,NIFTY CONSR DURBL,NIFTY CONSR DURBL,SECTORAL INDICES,True,15.65,1,9,False,False
DLF,NIFTY REALTY,NIFTY REALTY,SECTORAL INDICES,True,19.15,2,6,False,False
DMART,NIFTY NONCYC CONS,NIFTY NONCYC CONS,THEMATIC INDICES,True,2.72,0,4,False,False
DRREDDY,NIFTY PHARMA,NIFTY PHARMA,SECTORAL INDICES,True,7.4,3,2,False,False
EICHERMOT,NIFTY AUTO,NIFTY AUTO,SECTORAL INDICES,True,8.52,1,8,False,False
