symbol,entry_date,exit_date,ret_pct,r_multiple_reached,reached_1R,reached_1_5R,reached_2R
KEI,2024-07-02,2024-07-18,-2.763913427413045,2.026114654361566,True,True,True
LT,2024-07-09,2024-07-22,-1.828331215521972,0.604607629598656,False,False,False
GRASIM,2024-07-23,2024-08-05,-4.658100903238271,0.3750134564733273,False,False,False
PATANJALI,2024-07-22,2024-08-06,9.47595869154867,2.7480140936717685,True,True,True
PGEL,2024-07-24,2024-08-16,23.66309415539296,2.0706738398420876,True,True,True
CIPLA,2024-06-05,2024-08-27,8.091893953987706,1.747275098906808,True,True,False
ASIANPAINT,2024-08-12,2024-09-06,6.495597361757999,2.279169002817427,True,True,True
SRF,2024-08-30,2024-09-09,-2.2144554609050515,1.651614464532981,True,True,False
BSE,2024-09-10,2024-09-16,8.552358209873589,4.910093891871298,True,True,True
TCS,2024-09-13,2024-09-18,-2.6026163208653808,0.05405461123192567,False,False,False
CUMMINSIND,2024-08-16,2024-09-19,-2.5565348049497394,1.8542746429670163,True,True,False
360ONE,2024-08-19,2024-09-26,-6.295694700697252,0.5967095911384018,False,False,False
LUPIN,2024-09-26,2024-09-27,-2.003707529499821,0.08328181604598131,False,False,False
HINDUNILVR,2024-09-26,2024-10-01,-2.2582916436231004,0.951271716270452,False,False,False
ICICIPRULI,2024-09-26,2024-10-03,-2.277907960070835,1.0786209615478124,True,False,False
COALINDIA,2024-09-27,2024-10-04,-1.8634353885560784,0.9765325444431003,False,False,False
AMBER,2024-10-01,2024-10-16,13.020397952205176,2.4405803010924108,True,True,True
NTPC,2024-10-15,2024-10-17,-1.8495761642044029,0.2964031700458579,False,False,False
PERSISTENT,2024-10-14,2024-10-22,-5.710877628995026,0.58366045517326,False,False,False
NTPC,2024-10-21,2024-10-22,-3.121903963273132,0.13503883983492396,False,False,False
TECHM,2024-10-21,2024-10-31,-5.882200802251091,0.16386701733529993,False,False,False
MPHASIS,2024-10-30,2024-10-31,-2.861944661083904,0.09460567965324931,False,False,False
HDFCBANK,2024-08-19,2024-11-25,9.55056179775282,5.566360405070103,True,True,True
COFORGE,2024-10-24,2024-12-12,19.596954225855924,2.230595258906137,True,True,True
KOTAKBANK,2024-12-16,2024-12-20,-3.731978344020193,0.012829105138666525,False,False,False
TRENT,2024-12-27,2024-12-30,-2.350316856780743,0.7972030486051168,False,False,False
MUTHOOTFIN,2024-12-30,2025-01-01,4.038530862156131,3.3375056043221965,True,True,True
APOLLOHOSP,2024-12-03,2025-01-07,6.201790439727506,1.4849691286721842,True,False,False
UNOMINDA,2025-01-08,2025-01-13,-3.676419472183756,1.099074290676038,True,False,False
BSE,2025-01-23,2025-01-27,-4.2610969936310745,0.8477674238481031,False,False,False
MUTHOOTFIN,2025-02-05,2025-02-11,-5.07514417423004,0.2379935755295579,False,False,False
WIPRO,2025-02-04,2025-02-24,-5.753387096774199,0.305570351265733,False,False,False
MUTHOOTFIN,2025-03-17,2025-03-19,4.605734767025105,2.377382180282347,True,True,True
SHRIRAMFIN,2025-04-04,2025-04-07,-4.83010814482684,0.07036811384592537,False,False,False
BAJAJFINSV,2025-02-03,2025-04-24,19.24544327083748,2.0335664441546406,True,True,True
GRASIM,2025-04-28,2025-05-09,-2.780851249434701,0.35986386001953596,False,False,False
MAZDOCK,2025-04-29,2025-05-14,13.289177984617506,2.1346681242157453,True,True,True
INDIANB,2025-05-13,2025-05-19,5.40623601721788,2.658647609036236,True,True,True
RELIANCE,2025-05-26,2025-06-02,-2.289705441943646,0.13124472958581235,False,False,False
RADICO,2025-04-28,2025-06-04,10.32200257070981,2.4582019559872217,True,True,True
BAJAJFINSV,2025-05-06,2025-06-04,-4.303911448741749,0.31710538305618763,False,False,False
ICICIBANK,2025-05-23,2025-06-10,-1.5798123062066516,1.039785763862517,True,False,False
CIPLA,2025-06-24,2025-07-08,-1.8903597010212716,0.6092851624541888,False,False,False
BANKBARODA,2025-06-27,2025-07-16,3.998048302000568,1.6757712153510946,True,True,False
MARUTI,2025-07-17,2025-07-18,-1.400917166531945,0.2069108465527723,False,False,False
360ONE,2025-07-17,2025-07-22,-2.301304774546153,0.7730919566534359,False,False,False
CDSL,2025-06-23,2025-07-25,-3.8501929945843223,1.8286503762629212,True,True,False
BEL,2025-06-16,2025-07-29,-5.001984816053318,1.8712671352085721,True,True,False
CUMMINSIND,2025-08-05,2025-08-08,4.71965623418118,3.6893293610128457,True,True,True
MFSL,2025-08-12,2025-08-18,6.6308987810869136,2.701601043006865,True,True,True
ICICIGI,2025-08-20,2025-08-22,-2.608817705030353,0.6106717020882043,False,False,False
RADICO,2025-08-18,2025-09-05,-3.770721822183043,0.6320253973103176,False,False,False
LT,2025-09-04,2025-09-05,-1.9327058433851296,0.028563267637817774,False,False,False
HINDUNILVR,2025-09-10,2025-09-12,-1.715126197437267,0.1351236391289098,False,False,False
CUMMINSIND,2025-09-04,2025-09-18,6.254624551442145,2.0870151987403993,True,True,True
GVT&D,2025-09-01,2025-09-22,10.97200871660986,2.174323140891327,True,True,True
RADICO,2025-09-25,2025-09-26,-2.445365631291652,0.6214943223094352,False,False,False
UNOMINDA,2025-10-01,2025-10-09,-3.698770581796951,1.5237758197391815,True,True,False
POLYCAB,2025-10-06,2025-10-10,3.6021141301016524,2.7342214870972716,True,True,True
TVSMOTOR,2025-10-10,2025-10-13,-1.739060217770294,0.5552262120718954,False,False,False
RBLBANK,2025-10-01,2025-10-15,7.39917716602303,2.3407264294099934,True,True,True
ABCAPITAL,2025-10-14,2025-10-30,7.8861170502959155,2.3242350046584845,True,True,True
ZYDUSLIFE,2025-10-27,2025-10-30,-2.4154802427112543,0.14704620927126474,False,False,False
LTF,2025-09-30,2025-11-03,10.933787775201775,2.3444308688107225,True,True,True
AMBER,2025-10-10,2025-11-03,-4.378178144392441,0.7827928906914886,False,False,False
NATIONALUM,2025-11-10,2025-11-11,8.23045046437587,1.8557989122445966,True,True,False
BHARATFORG,2025-11-10,2025-11-11,3.752282729844469,3.5182619968706828,True,True,True
MANAPPURAM,2025-11-20,2025-11-24,-2.664786875154146,0.06811555696139555,False,False,False
NESTLEIND,2025-11-12,2025-11-25,-1.5551852057392068,0.8603826490601839,False,False,False
LTF,2025-11-25,2025-11-26,4.374271120471707,1.574150662090916,True,True,False
PNB,2025-11-12,2025-12-03,-2.483725850630991,1.610813989646219,True,True,False
CHOLAFIN,2025-12-30,2026-01-02,3.188067024747676,2.9575117320157807,True,True,True
MARICO,2025-12-15,2026-01-05,4.8930921052631415,3.6960785903026583,True,True,True
