symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,ema13_gt_ema21
MANAPPURAM,2023-08-21,2023-08-25,147.1,137.01170685303651,1156,stop,NIFTY MS FIN SERV,-11662.066877889783,-6.858119066596524,4,True
PFC,2023-07-10,2023-09-01,179.60235690235692,201.3461475987605,891,stop,NIFTY FINSEREXBNK,19373.71751049559,12.106628816806042,53,True
AUROPHARMA,2023-06-12,2023-09-04,663.7,818.5091059873428,310,stop,NIFTY MIDSML HLTH,47990.82285607624,23.325162872885752,84,True
BEL,2023-06-21,2023-09-12,122.8,134.75222372885122,1438,stop,NIFTY IND DEFENCE,17187.29772208806,9.73308121241956,83,True
POLYCAB,2023-08-01,2023-09-12,4630.2,4956.681828547327,55,stop,,17956.500570103013,7.051138796322576,42,True
RBLBANK,2023-08-02,2023-09-12,220.4,219.65684021834397,1154,stop,NIFTY MS FIN SERV,-857.6063880310945,-0.3371868337822437,41,True
MANAPPURAM,2023-09-01,2023-09-12,151.8,141.62126376916325,1186,stop,NIFTY MS FIN SERV,-12071.9811697724,-6.705359835860847,11,True
RECLTD,2023-08-02,2023-09-13,196.3,241.963149986777,892,stop,NIFTY FINSEREXBNK,40731.52978820509,23.26192052306521,42,True
ADANIPOWER,2023-09-12,2023-09-14,77.25,75.45,2400,rebalance,NIFTY COMMODITIES,-4319.999999999993,-2.3300970873786357,2,True
BSE,2023-08-16,2023-09-20,280.0,392.1247679625419,630,stop,NIFTY MS FIN SERV,70638.6038164014,40.0445599866221,35,True
RVNL,2023-09-12,2023-09-21,169.85,158.8,1633,rebalance,,-18044.64999999997,-6.505740359140411,9,True
HAL,2023-08-02,2023-09-22,1869.9,1929.3165160084495,136,stop,NIFTY IND DEFENCE,8080.646177149154,3.177523718297759,51,True
AUROPHARMA,2023-09-12,2023-09-22,871.2,866.4,212,rebalance,NIFTY MIDSML HLTH,-1017.6000000000143,-0.5509641873278293,10,True
OBEROIRLTY,2023-09-14,2023-09-22,1164.2,1120.85,155,rebalance,NIFTY REALTY,-6719.250000000021,-3.723587012540808,8,True
COFORGE,2023-08-25,2023-09-26,1051.0,1042.2127705508055,150,stop,NIFTY MS IT TELCM,-1318.0844173791684,-0.8360827258986125,32,True
UNIONBANK,2023-09-21,2023-10-09,87.19,90.66934377488884,2976,stop,NIFTY PSU BANK,10354.527074069165,3.99053076601541,18,True
RVNL,2023-09-22,2023-10-09,166.85,161.25,1517,rebalance,,-8495.199999999992,-3.356308061132751,17,True
BANKBARODA,2023-09-22,2023-10-13,194.54830328738072,183.51503525090317,943,stop,NIFTY PSU BANK,-10404.371758398358,-5.671222955966659,21,True
INDIANB,2023-09-26,2023-10-17,408.775587467363,409.0,383,rebalance,NIFTY PSU BANK,85.94999999997793,0.0548987120359667,21,True
BEL,2023-09-12,2023-10-20,134.15,134.2,1792,rebalance,NIFTY IND DEFENCE,89.59999999996944,0.0372717107715026,38,True
PHOENIXLTD,2023-08-16,2023-10-23,875.6,902.6505293149906,243,stop,NIFTY REALTY,6573.278623542722,3.0893706389893305,68,True
RBLBANK,2023-09-22,2023-10-23,233.0,232.6563939909418,787,stop,NIFTY MS FIN SERV,-270.41792912879697,-0.1474703901537255,31,True
UNIONBANK,2023-10-09,2023-10-23,89.95,84.72339173137988,2630,stop,NIFTY PSU BANK,-13745.979746470932,-5.810570615475408,14,True
MOTILALOFS,2023-10-17,2023-10-23,254.4894366197183,236.9893660735825,639,stop,NIFTY CAPITAL MKT,-11182.54507898077,-6.876541037845129,6,True
TATAELXSI,2023-10-20,2023-10-23,7564.4,7336.45,31,rebalance,NIFTY MS IT TELCM,-7066.449999999994,-3.013457775897621,3,True
KPITTECH,2023-10-23,2023-10-25,1151.9,1147.85,169,rebalance,NIFTY MS IT TELCM,-684.4500000000307,-0.3515930202274697,2,True
GODREJPROP,2023-10-23,2023-10-25,1630.2,1582.0,116,rebalance,NIFTY REALTY,-5591.200000000005,-2.9566924303766395,2,True
PFC,2023-09-04,2023-10-26,211.35,227.41043114612,1201,stop,NIFTY FINSEREXBNK,19288.57780649013,7.598973809377818,52,True
RECLTD,2023-09-13,2023-10-26,244.4,266.6597850374442,883,stop,NIFTY FINSEREXBNK,19655.390188063207,9.107931684715286,43,True
BAJFINANCE,2023-10-23,2023-10-26,780.0,750.4260893748135,243,stop,NIFTY FINSEREXBNK,-7186.460281920319,-3.791527003229034,3,True
DIXON,2023-10-26,2023-10-30,5340.95,5081.969597597976,41,stop,NIFTY CONSR DURBL,-10618.196498482986,-4.848957627426287,4,True
NBCC,2023-10-25,2023-11-17,42.37125348787293,44.7,4659,rebalance,NIFTY MULTI INFRA,10849.630000000045,5.4960529142561,23,True
360ONE,2023-10-26,2023-11-20,521.4,546.6,365,rebalance,NIFTY MS FIN SERV,9198.000000000016,4.833141542002317,25,True
PERSISTENT,2023-10-26,2023-11-21,2933.3,3232.8,96,rebalance,NIFTY MS IT TELCM,28752.0,10.210343299355683,26,True
BSE,2023-09-20,2023-11-24,400.5,690.9133287809914,618,stop,NIFTY MS FIN SERV,179475.43718665268,72.512691331084,65,True
BAJAJ-AUTO,2023-10-23,2023-12-19,5272.0,6260.5,35,rebalance,NIFTY AUTO,34597.5,18.75,57,True
RECLTD,2023-10-30,2023-12-20,278.4,402.63540861946353,748,stop,NIFTY FINSEREXBNK,92928.08564735872,44.62478757883031,51,True
OBEROIRLTY,2023-11-20,2023-12-20,1349.05,1370.003993719077,148,stop,NIFTY REALTY,3101.191070423405,1.5532407041308316,30,True
GODREJPROP,2023-11-21,2023-12-20,1890.85,1899.7369032345289,164,stop,NIFTY REALTY,1457.4521304627517,0.4699951468666974,29,True
TATAELXSI,2023-10-25,2023-12-20,7545.25,8608.35,24,rebalance,NIFTY MS IT TELCM,25514.40000000001,14.08965905702264,56,True
UNIONBANK,2023-12-19,2023-12-21,111.47,103.98863515254334,1971,stop,NIFTY PSU BANK,-14745.770114337078,-6.711550056030013,2,True
BSE,2023-11-24,2024-01-01,723.5,737.6511179694262,451,stop,NIFTY MS FIN SERV,6382.154204211214,1.955925082159804,38,True
MCX,2023-10-09,2024-01-10,416.0,612.0,668,rebalance,NIFTY MS FIN SERV,130928.0,47.11538461538463,93,True
PHOENIXLTD,2023-11-17,2024-01-17,1155.281647940075,1168.997970498565,267,stop,NIFTY REALTY,3662.258123116889,1.187270877447677,61,True
