symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,grade,pnl,ret_pct,holding_days
PATANJALI,2024-02-12,2024-02-13,539.8576675318402,520.5568000000001,436,stop,Pin Bar (Stopping Vol),A+,-8415.178243882301,-3.575177068444957,1
GRASIM,2024-02-12,2024-02-14,2187.5104775204813,2042.8062,107,stop,Bullish Engulfing,A,-15483.357694691505,-6.615021002528043,2
OIL,2024-02-14,2024-02-15,319.27721947133847,367.6144584140155,731,target,Pin Bar (Stopping Vol),A,35334.52166709689,15.139582780980799,1
DIXON,2024-02-12,2024-02-19,6308.619049256453,6619.4,36,target,Pin Bar (Stopping Vol),A,11188.114226767684,4.926291290011808,7
POWERGRID,2024-02-14,2024-02-20,271.75089407718457,287.8096822315537,857,target,Pin Bar (Stopping Vol),A,13762.381448294365,5.909378222618855,6
VEDL,2024-02-15,2024-02-26,131.64282008420935,122.2051,1835,stop,Morning Star,A+,-17318.21635452415,-7.16918710657537,11
TCS,2024-02-23,2024-03-06,4130.0,3963.058,59,stop,Morning Star,A+,-9849.578000000001,-4.042179176755445,12
GLENMARK,2024-03-06,2024-03-11,924.4867673089498,966.3817019268492,260,target,Pin Bar (Stopping Vol),A+,10892.683000653866,4.531696515229711,5
BAJAJHLDNG,2024-02-26,2024-03-12,8821.297247229544,8541.9319,27,stop,Pin Bar (Stopping Vol),A,-7542.864375197703,-3.1669417705801006,15
BLUESTARCO,2024-03-11,2024-03-13,1339.672243354179,1243.4581,181,stop,Bullish Engulfing,A,-17414.759947106395,-7.181916609191264,2
CDSL,2023-11-17,2024-03-14,904.97793263892,830.835,235,stop,Pin Bar (Stopping Vol),A,-17423.5891701462,-8.192789013398238,118
CIPLA,2024-02-23,2024-03-20,1459.4539512118743,1417.7088999999999,166,stop,Pin Bar (Stopping Vol),A+,-6929.67850117115,-2.8603198598497026,26
PIDILITIND,2024-03-21,2024-04-01,1449.0279809142303,1532.324742742691,159,target,Pin Bar (Stopping Vol),A,13244.185130725236,5.748457788641637,11
GLENMARK,2024-03-21,2024-04-08,949.8022179035439,1036.3400537106318,242,target,Bullish Engulfing,A,20942.156265315258,9.11114273854814,18
SUNPHARMA,2024-04-05,2024-04-10,1631.2083179450267,1583.9757000000002,147,stop,Pin Bar (Stopping Vol),A+,-6943.194837918896,-2.89556014553245,5
SRF,2024-04-09,2024-04-15,2623.9,2550.5387,90,stop,Pin Bar (Stopping Vol),A+,-6602.517000000003,-2.7958878006021592,6
BAJAJ-AUTO,2024-04-12,2024-04-16,8847.91961912265,8664.137,26,stop,Pin Bar (Stopping Vol),A+,-4778.348097188864,-2.077128037255749,4
ABB,2024-04-30,2024-05-03,6500.0,6773.1,36,target,Pin Bar (Stopping Vol),A+,9831.600000000013,4.201538461538457,3
FORTIS,2024-05-03,2024-05-06,444.0,469.7,541,target,Pin Bar (Stopping Vol),A+,13903.699999999993,5.788288288288279,3
CDSL,2024-05-06,2024-05-10,1092.5,1015.465,222,stop,Pin Bar (Stopping Vol),A,-17101.769999999993,-7.051258581235698,4
HAL,2024-05-09,2024-05-16,3895.8,4356.837190254285,60,target,Bullish Engulfing,A,27662.231415257083,11.834210951647538,7
BAJAJ-AUTO,2024-05-14,2024-05-16,8824.935979100184,8633.698,27,stop,Pin Bar (Stopping Vol),A,-5163.425435704969,-2.167018316655067,2
MOTHERSON,2024-05-17,2024-05-21,85.57,88.93,2838,target,Pin Bar (Stopping Vol),A+,9535.680000000038,3.926609793151825,4
AMBUJACEM,2024-01-29,2024-05-24,570.9,652.7643659550462,406,target,Morning Star,A+,33236.932577748754,14.339528105630794,116
TATAPOWER,2024-05-17,2024-05-30,436.6594842622216,425.9963,557,stop,Pin Bar (Stopping Vol),A,-5939.393634057426,-2.4419907608873026,13
NAUKRI,2024-05-21,2024-05-30,1258.761409282096,1179.636,195,stop,Pin Bar (Stopping Vol),A,-15429.454810008749,-6.2859735529406935,9
ABCAPITAL,2024-05-17,2024-06-04,223.22541960549637,218.562,1085,stop,Pin Bar (Stopping Vol),A+,-5059.810271963549,-2.0891077789160217,18
CONCOR,2024-06-03,2024-06-04,897.6,835.5755,271,stop,Pin Bar (Stopping Vol),A+,-16808.639499999997,-6.910037878787878,1
COLPAL,2024-03-15,2024-06-05,2705.25591088664,3062.594332659919,86,target,Bullish Engulfing,A,30731.10427250201,13.209043193853054,82
PFC,2024-06-12,2024-06-24,491.9904156406592,475.1478,508,stop,Pin Bar (Stopping Vol),A,-8556.048745454862,-3.4233625504121012,12
KEI,2024-06-28,2024-07-01,4530.0,4425.9803,54,stop,Pin Bar (Stopping Vol),A+,-5617.063799999991,-2.2962406181015416,3
