symbol,entry_date,ret_pct,win,score,rsi,rvol,er14,risk_pct,holding_days,wick_ratio,body_ratio
DABUR,2022-08-16,-2.6529317108183403,False,85.0,63.5048687216188,0.8679943744476395,0.06641604010025143,2.6529317108183452,10,62.781954887218426,3.0075187969923203
UNOMINDA,2022-09-07,-3.8202979652847135,False,80.0,60.936497321158505,0.713921904921821,0.015290519877675775,3.8202979652847184,8,68.84816753926681,12.565445026178471
BRITANNIA,2022-10-06,-1.8047064955371672,False,80.0,56.2755000828296,0.39613569736659304,0.10972318605906402,1.7349629312765142,1,61.545988258316775,21.81996086105697
PIIND,2022-12-05,-3.276483490547022,False,80.0,61.81373358376011,0.7774684597007459,0.17927111860122188,3.2764834905470233,21,74.38100050530575,14.552804446690365
PNB,2023-01-06,-3.5626585380111653,False,80.0,57.55697902301726,0.5936471584295566,0.0,3.5626585380111693,4,73.12500000000004,3.125000000000264
HDFCBANK,2023-02-14,-1.422774774774771,False,85.0,56.33545460712903,0.37394127291777385,0.06197654941373516,1.4161386654371364,6,60.465116279070145,19.767441860465592
CUMMINSIND,2023-03-06,3.429425883342696,True,85.0,61.96607791240379,0.5181088290419095,0.02183406113537114,2.0672449786832794,2,70.83333333333326,0.9469696969696937
HAL,2023-04-06,5.981611450931856,True,75.0,55.01426018912246,0.5614058597019682,0.0839189747829678,3.0868357004666906,22,74.00000000000026,7.4285714285711695
PFC,2023-04-06,8.052601059393316,True,80.0,55.76618998033582,0.6265344059807223,0.13513513513513525,3.4211603036497285,26,68.91891891891879,14.864864864864776
ITC,2023-05-15,-1.933652026114252,False,90.0,61.80968123134889,1.1298563383945952,0.27272727272727243,1.9336520261142502,4,65.45454545454483,0.9090909090911158
PRESTIGE,2023-05-25,-2.806743330054118,False,80.0,59.322001563732506,0.4698787510998927,0.015618027666220427,2.806743330054122,1,69.56521739130434,0.8695652173915022
OFSS,2023-05-23,4.057473097857667,True,85.0,58.65824666649687,0.3537638187768636,0.08602999210734018,2.0387627494839395,21,67.96116504854369,24.271844660194176
ASTRAL,2023-06-26,-2.67619887701166,False,85.0,67.55222292338013,0.9009812059508718,0.26108714408973327,2.6761988770116556,8,74.21524663677125,3.6995515695069376
GODREJPROP,2023-07-06,10.102044636054265,True,95.0,64.21658746153177,1.6420413711149868,0.18407787241439275,5.051022318027128,22,85.49723756906079,4.281767955800974
OBEROIRLTY,2023-08-04,-4.52520534577906,False,85.0,64.21041158292806,1.4597313116464532,0.27480417754569164,4.525205345779064,10,60.44198895027604,16.9060773480665
GLENMARK,2023-08-17,-3.673893585280963,False,80.0,61.21948696271303,0.9032398141981982,0.06434023991275825,3.4163441706447086,1,65.25423728813543,23.940677966102058
BEL,2023-08-08,4.8843617964803965,True,80.0,57.08501055026754,0.5542748383788964,0.07268170426065262,2.4421808982401974,17,71.15384615384609,3.846153846154729
COFORGE,2023-08-30,8.05149562847296,True,75.0,59.04012530014005,0.6418878510256243,0.15654952076677317,4.025747814236479,7,60.810810810810814,13.513513513513514
COFORGE,2023-09-14,-2.518042168401591,False,85.0,58.40751567803426,0.17457360722122148,0.05352112676056338,2.518042168401595,7,62.22222222222222,11.11111111111111
LICHSGFIN,2023-10-10,-2.807814703857625,False,80.0,58.986198592166474,0.5753113811392234,0.11731843575419035,2.80781470385762,13,78.82882882882866,1.351351351351656
UNIONBANK,2023-11-12,8.286074354127294,True,85.0,55.407107686195396,0.4093882578753137,0.13001449975833726,2.1344560657893417,3,62.251655629139655,19.20529801324444
NBCC,2023-10-27,13.092932089276577,True,80.0,55.239387506411525,1.0479533755672683,0.19534658264663107,6.546466044638288,34,60.0,21.200000000000045
MCX,2024-01-04,-2.077771895199587,False,85.0,56.64959095692676,0.5061674880093678,0.17525773195876287,2.077771895199584,1,80.0,10.0
RECLTD,2024-01-01,9.033138119785722,True,85.0,59.6595866662412,0.39474652566136714,0.059822150363783626,2.802238190547688,19,71.89189189189226,12.432432432432186
