symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
OBEROIRLTY,2024-10-30,2024-10-31,1990.05,1945.4,99,stop,Pin Bar,9.0,-4420.349999999987,-2.2436622195422196,1
HDFCAMC,2024-12-16,2024-12-18,2185.2,2113.25,89,stop,Pin Bar,9.0,-6403.549999999984,-3.2926047958996785,2
TRENT,2024-12-16,2024-12-18,4685.35,4579.95,41,stop,Pin Bar,8.0,-4321.400000000022,-2.2495651338747535,2
360ONE,2024-12-26,2025-01-06,1239.75,1316.9499999999998,155,target,Pin Bar,9.0,11965.99999999997,6.227061907642661,11
INDHOTEL,2025-01-01,2025-01-06,881.05,857.95,220,stop,Pin Bar,9.0,-5081.99999999998,-2.6218716304409417,5
DIXON,2025-01-01,2025-01-08,18028.899999999998,17471.95,10,stop,Pin Bar,9.0,-5569.499999999971,-3.0892067735690865,7
BSE,2025-01-23,2025-01-27,1938.55,1866.95,99,stop,Pin Bar,9.0,-7088.3999999999905,-3.693482241881818,4
DIVISLAB,2025-02-12,2025-02-14,5964.85,5862.05,32,stop,Pin Bar,9.0,-3289.600000000006,-1.7234297593401338,2
BAJAJHLDNG,2025-02-18,2025-02-25,12094.05,11602.0,16,stop,Pin Bar,9.0,-7872.799999999988,-4.0685295661916365,7
INDIGO,2025-03-04,2025-03-19,4492.6,4942.800000000001,42,target,Pin Bar,9.0,18908.40000000003,10.020923296086902,15
CHOLAFIN,2025-03-06,2025-04-07,1469.0,1394.0,131,stop,Pin Bar,9.0,-9825.0,-5.105513955071473,32
MAZDOCK,2025-04-03,2025-04-07,2610.05,2520.25,75,stop,Pin Bar,9.0,-6735.000000000014,-3.440547115955639,4
BAJAJFINSV,2025-02-03,2025-04-21,1780.05,2106.25,107,target,Pin Bar,9.0,34903.4,18.32532794022641,77
INDIGO,2025-05-22,2025-05-27,5482.55,5389.95,35,stop,Pin Bar,9.0,-3241.0000000000127,-1.6889950844041657,5
ICICIBANK,2025-05-23,2025-06-04,1445.35,1427.75,136,stop,Pin Bar,9.0,-2393.5999999999876,-1.2176981353997252,12
MUTHOOTFIN,2025-06-26,2025-06-27,2590.05,2534.0499999999997,75,stop,Pin Bar,9.0,-4200.000000000035,-2.1621204223856827,1
BAJAJFINSV,2025-07-23,2025-07-25,2049.05,2015.15,96,stop,Pin Bar,9.0,-3254.4000000000087,-1.654425221444089,2
MUTHOOTFIN,2025-06-30,2025-08-12,2589.25,2515.95,75,stop,Pin Bar,9.0,-5497.500000000014,-2.830935599111717,43
CUMMINSIND,2025-08-29,2025-09-09,3857.05,4016.6500000000005,50,target,Pin Bar,9.0,7980.000000000018,4.137877393344658,11
POLYCAB,2025-09-16,2025-09-22,7280.05,7580.250000000001,26,target,Pin Bar,9.0,7805.200000000019,4.123598052211186,6
PNB,2025-11-12,2025-12-03,119.21,116.63000000000001,1650,stop,Pin Bar,9.0,-4256.999999999974,-2.1642479657746683,21
NATIONALUM,2025-12-10,2025-12-22,267.05,282.65000000000003,733,target,Pin Bar,9.0,11434.800000000017,5.841602696124326,12
UNIONBANK,2026-02-12,2026-02-17,175.45000000000002,184.33000000000007,1127,target,Pin Bar,9.0,10007.760000000058,5.061271017383895,5
BAJAJ-AUTO,2026-02-03,2026-02-25,9933.0,10068.249999999996,19,target,Pin Bar,9.0,2569.749999999931,1.3616228732507452,22
MANAPPURAM,2026-02-17,2026-02-25,306.05,295.3,652,stop,Pin Bar,9.0,-7009.0,-3.512497957850025,8
SHRIRAMFIN,2026-02-25,2026-02-26,1066.05,1097.8499999999997,186,target,Pin Bar,9.0,5914.799999999949,2.9829745321513723,1
ONGC,2026-03-09,2026-03-10,289.0,271.09999999999997,693,stop,Pin Bar,9.0,-12404.700000000024,-6.193771626297595,1
AUROPHARMA,2026-04-06,2026-05-06,1344.0,1484.7500000000002,147,target,Pin Bar,9.0,20690.250000000033,10.472470238095255,30
POLYCAB,2026-05-04,2026-05-07,8163.55,8549.75,24,target,Pin Bar,9.0,9268.799999999996,4.730785013872629,3
CUMMINSIND,2026-05-04,2026-05-27,5308.85,5686.6500000000015,37,target,Pin Bar,9.0,13978.60000000004,7.116418810100145,23
CGPOWER,2026-05-07,2026-05-27,841.5,910.7499999999998,243,target,Pin Bar,9.0,16827.749999999945,8.229352346999374,20
CGPOWER,2026-06-15,2026-06-17,928.0,962.2499999999998,226,target,Pin Bar,9.0,7740.499999999949,3.690732758620663,2
CUMMINSIND,2026-06-23,2026-06-24,5802.5,5636.95,36,stop,Pin Bar,9.0,-5959.800000000007,-2.8530805687203786,1
ZYDUSLIFE,2026-06-04,2026-07-06,1081.1499999999999,1145.7499999999993,194,target,Pin Bar,9.0,12532.399999999894,5.975119086158198,32
PNBHOUSING,2026-07-20,2026-07-23,1102.1499999999999,1072.65,193,stop,Pin Bar,9.0,-5693.499999999956,-2.6765866715056763,3
SIEMENS,2026-07-31,2026-08-03,3665.05,3830.050000000001,57,target,Pin Bar,9.0,9405.000000000051,4.501984966098704,3
